Year,Country,alpha_3,Region,Latitude,Longitude,Sonnenscheindauer
1970,Switzerland,CHE,Davos,46.802746,9.83597,1589.9
1971,Switzerland,CHE,Davos,46.802746,9.83597,1932.7
1972,Switzerland,CHE,Davos,46.802746,9.83597,1652.9
1973,Switzerland,CHE,Davos,46.802746,9.83597,1692.0
1974,Switzerland,CHE,Davos,46.802746,9.83597,1578.2
1975,Switzerland,CHE,Davos,46.802746,9.83597,1791.6
1976,Switzerland,CHE,Davos,46.802746,9.83597,1769.2
1977,Switzerland,CHE,Davos,46.802746,9.83597,1470.5
1978,Switzerland,CHE,Davos,46.802746,9.83597,1584.3
1979,Switzerland,CHE,Davos,46.802746,9.83597,1542.7
1980,Switzerland,CHE,Davos,46.802746,9.83597,1480.4
1981,Switzerland,CHE,Davos,46.802746,9.83597,1395.9
1982,Switzerland,CHE,Davos,46.802746,9.83597,1603.15
1983,Switzerland,CHE,Davos,46.802746,9.83597,1613.3833333333334
1984,Switzerland,CHE,Davos,46.802746,9.83597,1622.1
1985,Switzerland,CHE,Davos,46.802746,9.83597,1878.85
1986,Switzerland,CHE,Davos,46.802746,9.83597,1824.95
1987,Switzerland,CHE,Davos,46.802746,9.83597,1604.1166666666666
1988,Switzerland,CHE,Davos,46.802746,9.83597,1559.6666666666667
1989,Switzerland,CHE,Davos,46.802746,9.83597,1822.15
1990,Switzerland,CHE,Davos,46.802746,9.83597,1758.7166666666667
1991,Switzerland,CHE,Davos,46.802746,9.83597,1802.6666666666667
1992,Switzerland,CHE,Davos,46.802746,9.83597,1702.4833333333333
1993,Switzerland,CHE,Davos,46.802746,9.83597,1617.6333333333334
1994,Switzerland,CHE,Davos,46.802746,9.83597,1603.0166666666667
1995,Switzerland,CHE,Davos,46.802746,9.83597,1564.5166666666667
1996,Switzerland,CHE,Davos,46.802746,9.83597,1675.1666666666667
1997,Switzerland,CHE,Davos,46.802746,9.83597,1774.7833333333333
1998,Switzerland,CHE,Davos,46.802746,9.83597,1708.1166666666666
1999,Switzerland,CHE,Davos,46.802746,9.83597,1573.6666666666667
2000,Switzerland,CHE,Davos,46.802746,9.83597,1626.6833333333334
2001,Switzerland,CHE,Davos,46.802746,9.83597,1640.2333333333333
2002,Switzerland,CHE,Davos,46.802746,9.83597,1622.2333333333333
2003,Switzerland,CHE,Davos,46.802746,9.83597,2082.55
2004,Switzerland,CHE,Davos,46.802746,9.83597,1645.5333333333333
2005,Switzerland,CHE,Davos,46.802746,9.83597,1765.7
2006,Switzerland,CHE,Davos,46.802746,9.83597,1876.9666666666667
2007,Switzerland,CHE,Davos,46.802746,9.83597,1803.4166666666667
2008,Switzerland,CHE,Davos,46.802746,9.83597,1717.9833333333333
2009,Switzerland,CHE,Davos,46.802746,9.83597,1716.35
2010,Switzerland,CHE,Davos,46.802746,9.83597,1617.0833333333333
2011,Switzerland,CHE,Davos,46.802746,9.83597,1997.05
2012,Switzerland,CHE,Davos,46.802746,9.83597,1771.1666666666667
2013,Switzerland,CHE,Davos,46.802746,9.83597,1624.7666666666667
2014,Switzerland,CHE,Davos,46.802746,9.83597,1536.7666666666667
2015,Switzerland,CHE,Davos,46.802746,9.83597,1892.0166666666667
2016,Switzerland,CHE,Davos,46.802746,9.83597,1649.0
2017,Switzerland,CHE,Davos,46.802746,9.83597,1790.3833333333334
2018,Switzerland,CHE,Davos,46.802746,9.83597,1807.8333333333333
2019,Switzerland,CHE,Davos,46.802746,9.83597,1756.7666666666667
1931,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,
1932,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,
1933,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,
1934,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,
1935,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,
1936,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2040.3
1937,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2203.0
1938,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2437.9
1939,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2011.9
1940,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2298.8
1941,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2242.9
1942,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2272.5
1943,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2464.7
1944,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2375.8
1945,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2740.8
1946,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2188.1
1947,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2309.1
1948,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2350.1
1949,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2549.5
1950,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2283.1
1951,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2060.5
1952,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2365.4
1953,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2329.6
1954,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2151.4
1955,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2328.6
1956,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2278.0
1957,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2204.2
1958,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2223.8
1959,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2288.8
1960,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2013.2
1961,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2442.4
1962,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2394.9
1963,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2076.2
1964,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2250.4
1965,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2266.7
1966,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2305.7
1967,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2390.9
1968,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2181.0
1969,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2220.8
1970,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2271.2
1971,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2348.5
1972,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1827.0
1973,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2276.4
1974,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2151.6
1975,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2202.7
1976,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2381.7
1977,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2071.6
1978,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2083.2
1979,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1916.0
1980,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1976.5
1981,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2021.4166666666667
1982,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2075.5666666666666
1983,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2061.75
1984,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2018.1166666666666
1985,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2131.5
1986,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1998.7333333333333
1987,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1999.4
1988,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2024.7666666666667
1989,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2312.25
1990,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2220.016666666667
1991,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2265.6
1992,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1928.6
1993,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2035.6333333333334
1994,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2113.0333333333333
1995,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2275.5666666666666
1996,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2004.6
1997,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2354.7
1998,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2332.15
1999,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2120.25
2000,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2096.9333333333334
2001,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2267.266666666667
2002,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2111.25
2003,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2459.2166666666667
2004,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2095.1
2005,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2325.0333333333333
2006,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2237.35
2007,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2420.9666666666667
2008,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2135.8
2009,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2335.5666666666666
2010,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2073.266666666667
2011,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2430.6666666666665
2012,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2251.0833333333335
2013,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2137.25
2014,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2004.75
2015,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2381.733333333333
2016,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2182.5333333333333
2017,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2460.616666666667
2018,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2226.733333333333
2019,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2317.0833333333335
1931,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2293.9
1932,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2091.6
1933,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2069.4
1934,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2166.6
1935,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2101.8
1936,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1922.7
1937,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2021.1
1938,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2229.6
1939,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1839.2
1940,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2044.2
1941,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2081.9
1942,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2079.4
1943,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2288.9
1944,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2184.9
1945,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2590.5
1946,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2036.3
1947,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2167.1833333333334
1948,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2168.3
1949,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2329.4
1950,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2097.1
1951,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1845.4
1952,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2143.8
1953,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2114.9
1954,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1961.0
1955,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2127.3
1956,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2108.8
1957,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1993.6
1958,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2055.4
1959,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2090.3
1960,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1783.9
1961,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2215.4
1962,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2221.5
1963,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1802.8
1964,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2023.4
1965,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1998.1
1966,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2029.0
1967,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2117.9
1968,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1928.7
1969,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1945.1
1970,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2050.2
1971,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2106.3
1972,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1677.7
1973,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2131.8
1974,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2004.4
1975,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2045.8
1976,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2149.6
1977,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1842.3
1978,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2004.4
1979,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1795.8
1980,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1860.3
1981,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1902.6333333333334
1982,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1935.2833333333333
1983,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1936.05
1984,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1908.6
1985,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2089.883333333333
1986,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1895.6833333333334
1987,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1923.0333333333333
1988,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1927.1833333333334
1989,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2197.5
1990,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2130.8
1991,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2076.6
1992,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1829.7333333333333
1993,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1916.25
1994,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1946.7166666666667
1995,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2111.233333333333
1996,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1859.7666666666667
1997,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2273.8166666666666
1998,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2247.633333333333
1999,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1984.4166666666667
2000,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2111.9
2001,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2345.35
2002,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2025.7333333333333
2003,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2406.9
2004,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2034.5666666666666
2005,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2239.55
2006,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2229.6
2007,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2317.0833333333335
2008,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1988.6333333333334
2009,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2249.866666666667
2010,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1948.95
2011,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2336.0666666666666
2012,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2179.8333333333335
2013,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1997.9
2014,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1874.9166666666667
2015,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2301.5
2016,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2137.5666666666666
2017,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2415.6833333333334
2018,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2171.25
2019,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2288.1
1931,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1596.6
1932,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1476.3
1933,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1592.3
1934,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1746.2
1935,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1615.4
1936,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1345.2
1937,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1369.9
1938,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1698.9
1939,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1191.4
1940,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1430.7
1941,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1484.1
1942,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1565.9
1943,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1705.8
1944,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1450.1
1945,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1776.3
1946,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1555.3
1947,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1772.4
1948,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1624.1
1949,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1892.3
1950,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1659.8
1951,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1443.7
1952,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1526.1
1953,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1540.0
1954,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1367.4
1955,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1389.6
1956,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1373.5
1957,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1419.9
1958,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1408.5
1959,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1635.4
1960,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1535.0
1961,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1668.8
1962,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1695.8
1963,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1378.2
1964,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1437.7
1965,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1229.6
1966,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1440.0
1967,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1524.2
1968,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1375.4
1969,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1403.0
1970,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1316.0
1971,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1505.5
1972,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1189.8
1973,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1363.8
1974,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1393.4
1975,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1330.9
1976,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1575.7
1977,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1196.7
1978,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1045.6
1979,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1185.1
1980,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1149.2
1981,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1200.7833333333333
1982,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1333.5
1983,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1296.5666666666666
1984,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1290.5666666666666
1985,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1459.35
1986,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1427.3833333333334
1987,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1100.4833333333333
1988,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1298.6666666666667
1989,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1524.1333333333334
1990,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1584.7166666666667
1991,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1357.1833333333334
1992,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1275.0333333333333
1993,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1316.9833333333333
1994,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1288.75
1995,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1367.4
1996,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1302.9
1997,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1561.9166666666667
1998,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1490.3166666666666
1999,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1322.8333333333333
2000,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1524.1166666666666
2001,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1441.3166666666666
2002,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1469.4333333333334
2003,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1865.3833333333334
2004,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1456.6
2005,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1570.0833333333333
2006,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1558.2166666666667
2007,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1616.1
2008,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1509.75
2009,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1545.0833333333333
2010,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1349.35
2011,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1809.9666666666667
2012,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1632.0
2013,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1401.2333333333333
2014,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1563.1
2015,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1732.4833333333333
2016,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1464.5666666666666
2017,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1706.4
2018,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1720.4333333333334
2019,Switzerland,CHE,Luzern,47.04554,8.308010000000001,1788.75
1931,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,1768.4
1932,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,1623.5
1933,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,1674.9
1934,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,1864.4
1935,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,1682.6
1936,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,1486.8
1937,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,1657.0
1938,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,1860.8
1939,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,1352.7
1940,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,1638.9
1941,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,1594.1
1942,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,1720.3
1943,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,1867.2
1944,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,1683.7
1945,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,1929.1
1946,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,1666.2
1947,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,1860.1
1948,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,1663.3
1949,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,2064.6
